trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.007, 'e': 0.9769000000000025}",25,0,-90.86636660495259,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
78,False,"{'a': 0.007, 'e': 0.9766000000000026}",30,0,-196.7641921852179,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 3}",0
79,False,"{'a': 0.007, 'e': 0.9763000000000026}",20,0,-126.45173606301,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
80,False,"{'a': 0.007, 'e': 0.9760000000000026}",20,0,-53.939394698996246,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
81,False,"{'a': 0.007, 'e': 0.9757000000000027}",25,0,-107.38841845267731,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
82,False,"{'a': 0.007, 'e': 0.9754000000000027}",20,0,-108.42635828731748,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
83,False,"{'a': 0.007, 'e': 0.9751000000000027}",25,0,-123.6707018610532,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
84,False,"{'a': 0.007, 'e': 0.9748000000000028}",20,2,-147.47997200340316,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 3}",1
85,False,"{'a': 0.007, 'e': 0.9745000000000028}",25,0,-153.8546038882719,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
86,False,"{'a': 0.007, 'e': 0.9742000000000028}",20,9,9.61842019549442,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.007, 'e': 0.9739000000000029}",25,0,-105.35510301364494,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
88,False,"{'a': 0.007, 'e': 0.9736000000000029}",25,0,-126.64121599345043,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
89,False,"{'a': 0.007, 'e': 0.9733000000000029}",20,0,-48.0505700082332,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
90,False,"{'a': 0.007, 'e': 0.973000000000003}",25,0,-242.85326109120462,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
91,False,"{'a': 0.007, 'e': 0.972700000000003}",25,0,-130.93888361402122,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
92,False,"{'a': 0.007, 'e': 0.972400000000003}",20,13,-62.74419088615504,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 1}",1
93,False,"{'a': 0.007, 'e': 0.9721000000000031}",30,13,-58.01929509094449,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
94,False,"{'a': 0.007, 'e': 0.9718000000000031}",20,0,-51.76926392214232,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
95,False,"{'a': 0.007, 'e': 0.9715000000000031}",30,0,-169.34124822936428,"{0: 18, 1: 0, 2: 9, 3: 1, 4: 2}",0
96,False,"{'a': 0.007, 'e': 0.9712000000000032}",30,0,-235.19901881193726,"{0: 13, 1: 5, 2: 7, 3: 2, 4: 3}",0
97,False,"{'a': 0.007, 'e': 0.9709000000000032}",25,0,-100.16499522571827,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
98,False,"{'a': 0.007, 'e': 0.9706000000000032}",20,0,-85.70129836621494,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
99,False,"{'a': 0.007, 'e': 0.9703000000000033}",20,0,-121.67103615967922,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
100,False,"{'a': 0.007, 'e': 0.9700000000000033}",25,0,-145.9831594646571,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
101,False,"{'a': 0.007, 'e': 0.9697000000000033}",25,0,-180.68323307759533,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
102,False,"{'a': 0.007, 'e': 0.9694000000000034}",20,0,-87.31132744644643,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
103,False,"{'a': 0.007, 'e': 0.9691000000000034}",25,11,-40.248116158554836,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.007, 'e': 0.9688000000000034}",25,0,-98.95227706088453,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
105,False,"{'a': 0.007, 'e': 0.9685000000000035}",30,0,-70.43160660839678,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
106,False,"{'a': 0.007, 'e': 0.9682000000000035}",25,0,-93.86419458101511,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
107,False,"{'a': 0.007, 'e': 0.9679000000000035}",25,0,-67.94143296844652,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
108,False,"{'a': 0.007, 'e': 0.9676000000000036}",30,0,-136.8382986719842,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
109,False,"{'a': 0.007, 'e': 0.9673000000000036}",25,0,-86.35816753403013,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
110,False,"{'a': 0.007, 'e': 0.9670000000000036}",25,0,-57.744435470517914,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
111,False,"{'a': 0.007, 'e': 0.9667000000000037}",30,0,-128.24371617672875,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
112,False,"{'a': 0.007, 'e': 0.9664000000000037}",25,0,-122.85974755201065,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
113,False,"{'a': 0.007, 'e': 0.9661000000000037}",30,0,-87.36580416772183,"{0: 21, 1: 1, 2: 5, 3: 3, 4: 0}",0
114,False,"{'a': 0.007, 'e': 0.9658000000000038}",20,0,-85.01225325132475,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
115,False,"{'a': 0.007, 'e': 0.9655000000000038}",25,0,-86.06414845302166,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
116,False,"{'a': 0.007, 'e': 0.9652000000000038}",20,0,-153.93359948691494,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
117,False,"{'a': 0.007, 'e': 0.9649000000000039}",20,4,-91.66998988562062,"{0: 8, 1: 1, 2: 4, 3: 3, 4: 0}",1
118,False,"{'a': 0.007, 'e': 0.9646000000000039}",25,0,-95.93642991950387,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
119,False,"{'a': 0.007, 'e': 0.9643000000000039}",30,0,-120.38490376188253,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
120,False,"{'a': 0.007, 'e': 0.964000000000004}",20,0,-78.6016278644328,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
121,False,"{'a': 0.007, 'e': 0.963700000000004}",20,0,-120.02790134415211,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
122,False,"{'a': 0.007, 'e': 0.963400000000004}",25,0,-118.14746983686469,"{0: 12, 1: 7, 2: 4, 3: 1, 4: 1}",0
123,False,"{'a': 0.007, 'e': 0.9631000000000041}",35,25,-49.53164134654976,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
124,False,"{'a': 0.007, 'e': 0.9628000000000041}",20,0,-80.70552856402166,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
125,False,"{'a': 0.007, 'e': 0.9625000000000041}",20,0,-107.38151125264781,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
126,False,"{'a': 0.007, 'e': 0.9622000000000042}",20,0,-63.29998428145451,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
127,False,"{'a': 0.007, 'e': 0.9619000000000042}",20,0,-57.637568988426786,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
128,False,"{'a': 0.007, 'e': 0.9616000000000042}",25,0,-84.04795299623605,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
129,False,"{'a': 0.007, 'e': 0.9613000000000043}",20,0,-64.22457220526294,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
130,False,"{'a': 0.007, 'e': 0.9610000000000043}",30,0,-78.64937612035493,"{0: 18, 1: 4, 2: 8, 3: 0, 4: 0}",0
131,False,"{'a': 0.007, 'e': 0.9607000000000043}",30,24,5.905846053544169,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.007, 'e': 0.9604000000000044}",25,0,-48.693964529073824,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
133,False,"{'a': 0.007, 'e': 0.9601000000000044}",20,0,-136.25434884432957,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
